Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070811900K,Intel,Core i9-11900K,1,109,1029,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811700K,Intel,Core i7-11700K,2,108,2099,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811900,Intel,Core i9-11900,3,106,104,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811900KF,Intel,Core i9-11900KF,4,105,139,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811700KF,Intel,Core i7-11700KF,5,105,368,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811900F,Intel,Core i9-11900F,6,105,88,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,7,105,240,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070811600K,Intel,Core i5-11600K,8,104,873,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070811700,Intel,Core i7-11700,9,103,360,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070811500,Intel,Core i5-11500,10,102,223,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,BX8070110900K,Intel,Core i9-10900K,11,102,47621,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,12,101,7616,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110900KF,Intel,Core i9-10900KF,13,101,9857,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,14,101,15401,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070110850K,Intel,Core i9-10850K,15,101,33421,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
