Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,151,27,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,2,143,38,https://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,3,140,48,https://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,4,116,98,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,5,113,70,https://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,75,1391,https://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,7,74.2,4905,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459
USB,MUF-64BB/US,Samsung,FIT USB 3.0 64GB,8,64.9,2645,https://usb.userbenchmark.com/SpeedTest/36937/Samsung-Flash-Drive-FIT
USB,SDCZ880-256G,SanDisk,Extreme Pro USB 3.1 256GB,9,64.7,357,https://usb.userbenchmark.com/SpeedTest/248252/SanDisk-Extreme-Pro
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,10,62.1,3843,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466
USB,,Drobo,Mini 4.5TB,11,61.8,14,https://usb.userbenchmark.com/SpeedTest/2759/Drobo-Mini
USB,SDCZ80-016G,SanDisk,Extreme USB 3.0 16GB,12,61.5,2593,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-16GB/Rating/1301
USB,HXS3/128GB,Kingston,HyperX Savage USB 3.1 128GB,13,61.4,592,https://usb.userbenchmark.com/SpeedTest/64443/Kingston-HyperX-Savage
USB,HXS3/512GB,Kingston,HyperX Savage USB 3.1 512GB,14,60.8,83,https://usb.userbenchmark.com/SpeedTest/80249/Kingston-HyperX-Savage
USB,HXS3/256GB,Kingston,HyperX Savage USB 3.1 256GB,15,60.6,395,https://usb.userbenchmark.com/SpeedTest/47907/Kingston-HyperX-Savage
USB,,Corsair,Voyager GS 126GB,16,59.7,48,https://usb.userbenchmark.com/SpeedTest/7514/Corsair-Voyager-GS
USB,MUF-32BB/AM,Samsung,FIT USB 3.0 32GB,17,58.6,2955,https://usb.userbenchmark.com/SpeedTest/38059/Samsung-Flash-Drive-FIT
USB,SDCZ880-128G,SanDisk,Extreme Pro USB 3.1 128GB,18,58.4,918,https://usb.userbenchmark.com/SpeedTest/236544/SanDisk-Extreme-Pro
USB,,Apricorn,SATAWire 256GB,19,58.3,33,https://usb.userbenchmark.com/SpeedTest/10670/Apricorn-SATAWire
USB,LJDP10-32GCRBEU,Lexar,JumpDrive P10 USB 3.0 32GB,20,58.3,71,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-32GB/Rating/1476
USB,LJDP20-64GCRBNA,Lexar,JumpDrive P20 USB 3.0 64GB,21,51.4,466,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,LJDP20-64GCRBEU,Lexar,JumpDrive P20 USB 3.0 64GB,21,51.4,466,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,,Samsung,D3 Station 2TB,22,50,2317,https://usb.userbenchmark.com/SpeedTest/5414/Samsung-D3-Station
USB,LJDP10-64GCRBNA,Lexar,JumpDrive P10 USB 3.0 64GB,23,49.7,65,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,LJDP10-64GCRBEU,Lexar,JumpDrive P10 USB 3.0 64GB,23,49.7,65,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,HXS3/64GB,Kingston,HyperX Savage USB 3.1 64GB,24,48.5,714,https://usb.userbenchmark.com/SpeedTest/41443/Kingston-HyperX-Savage
